message,label
"With the information for the data holder?",getDCR
"What's the information assigned to the data holder with this guid?",getDCR
"Hey slackbot What's the information assigned to the data holder with this guid?",getDCR
"Can you provide the details for the data holder with this guid?",getDCR
"What details correspond to this guid in our system?",getDCR
"slackbot what details correspond to this guid in our system?",getDCR
"I need information on the data holder linked to this guid.",getDCR
"Can you fetch the data associated with this guid?",getDCR
"What's linked to this specific guid?",getDCR
"What does this guid reference in our database?",getDCR
"Which data holder does this guid point to?",getDCR
"I'm looking for details tied to this guid.",getDCR
"What information does this guid represent?",getDCR
"I'd like to know more about the data holder this guid refers to.",getDCR
"Can I get the data linked with this particular guid?",getDCR
"Show me the information connected to this guid.",getDCR
"What's stored under this guid?",getDCR
"Please pull up the data for the holder with this guid.",getDCR
"Slackbot please pull up the data for the holder with this guid.",getDCR
"Can you display the details associated with this guid?",getDCR
"I'm inquiring about the data holder for this guid.",getDCR
"Please provide the entry related to this guid.",getDCR
"What content is mapped to this guid?",getDCR
"What's the relation of this guid to its data holder?",getDCR
"Fetch the data holder's details for this guid.",getDCR
"Can you look up what this guid corresponds to?",getDCR
"Show me the database entry for this guid.",getDCR
"Which information is indexed under this guid?",getDCR
"I'd like the details stored against this guid.",getDCR
"hey slackbot I'd like the details stored against this guid.",getDCR
"slackbot I'd like the details stored against this guid.",getDCR
"Retrieve the data holder information for this guid.",getDCR
"Which holder's details are associated with this guid?",getDCR
"I'm curious about the data holder that this guid maps to.",getDCR
"Help me find the information for the holder with this guid.",getDCR
"Can you pinpoint the data related to this guid?",getDCR
"slackbot Can you pinpoint the data related to this guid?",getDCR
"hey Slackbot Can you pinpoint the data related to this guid?",getDCR
"Please pull the records for the data holder attached to this guid.",getDCR
"I'd like to understand what this guid stands for in our system.",getDCR
"Direct me to the data linked to this specific guid.",getDCR
"Can you clarify what's denoted by this guid?",getDCR
"Show me the details that this guid corresponds to.",getDCR
"Highlight the information stored against this guid.",getDCR
"Please navigate to the data of the holder tied to this guid.",getDCR
"Unveil the data holder's information associated with this guid.",getDCR
"Can you spotlight the details for the holder with this guid?",getDCR
"hey slackbot can you spotlight the details for the holder with this guid?",getDCR
"Fetch me the data for the holder represented by this guid.",getDCR
"Guide me to the details indexed under this guid.",getDCR
"getDCR",getDCR
"gtDCR",getDCR
"getdcr",getDCR
"gtdcr",getDCR
